ID,Epic,Task,Description,Priority,EstimatePts,Status
E01-01,Project Setup & DevOps,Initialize Next.js project,"Create Next.js (App Router) app with TypeScript and TailwindCSS.",High,2,To Do
E01-02,Project Setup & DevOps,Configure environment variables,"Add .env.example for DATABASE_URL, EMAIL_KEY, SITE_URL, NEXTAUTH_SECRET.",High,1,To Do
E01-03,Project Setup & DevOps,Setup CI/CD,"GitHub Actions to run typecheck, lint, and tests on PRs.",Medium,2,To Do
E01-04,Project Setup & DevOps,Deploy to Vercel,"Link repo, enable preview deployments, confirm production build.",High,2,To Do

E02-01,Database & Schema,Create Neon PostgreSQL DB,"Provision Neon project with pooled connection and test Prisma connection.",High,2,To Do
E02-02,Database & Schema,Implement Prisma schema,"Define Household, Guest, Event, RSVP models and relationships.",High,3,To Do
E02-03,Database & Schema,Run migrations and seed,"Prisma migrate deploy; seed script with sample data.",High,2,To Do

E03-01,Scroll Story Landing Page,Hero / Invitation section,"‘You’re invited to our wedding’ intro with couple names, image, and scroll indicator.",High,2,To Do
E03-02,Scroll Story Landing Page,Our Story section,"Section with text or video about the proposal or story.",Medium,2,To Do
E03-03,Scroll Story Landing Page,Save the Date section,"Date, location, and RSVP CTA with smooth scroll transitions.",High,2,To Do
E03-04,Scroll Story Landing Page,Location & RSVP section,"Embed map and RSVP button linking to RSVP page.",High,2,To Do
E03-05,Scroll Story Landing Page,Scroll animations,"Smooth section snapping with Framer Motion or GSAP.",Medium,2,To Do
E03-06,Scroll Story Landing Page,Responsive layout,"Ensure all sections scale on mobile and desktop.",High,2,To Do

E04-01,RSVP Flow & API,RSVP form design,"Build form for guests to accept/decline and add dietary notes.",High,3,To Do
E04-02,RSVP Flow & API,Lookup household endpoint,"/api/invites/lookup validates invite code and returns household info.",High,3,To Do
E04-03,RSVP Flow & API,Submit RSVP endpoint,"/api/rsvp/submit saves responses and triggers confirmation email.",High,3,To Do
E04-04,RSVP Flow & API,Frontend integration,"Connect RSVP form to API; success + error states.",High,3,To Do
E04-05,RSVP Flow & API,Confirmation page,"Show summary, event details, and optional edit within TTL.",Medium,2,To Do

E05-01,Email & Calendar,Email provider setup,"Choose Resend/Mailgun/Postmark and configure DNS (SPF/DKIM).",High,2,To Do
E05-02,Email & Calendar,Confirmation email,"Template confirming RSVP with couple names and .ics attachment.",High,3,To Do
E05-03,Email & Calendar,Save-the-date email,"Optional early invite or reminder email.",Medium,2,To Do

E06-01,Admin Dashboard,Admin authentication,"Passwordless email login or simple admin secret.",High,2,To Do
E06-02,Admin Dashboard,Guest list page,"View guests, RSVP status, dietary notes, and filters.",High,3,To Do
E06-03,Admin Dashboard,CSV export,"Export guest list with filters.",Medium,2,To Do

E07-01,Hosting & Security,Custom domain setup,"Attach domain and configure HTTPS + redirect www→apex.",High,2,To Do
E07-02,Hosting & Security,Secure API access,"Validate invite codes server-side only, hash stored values.",High,2,To Do
E07-03,Hosting & Security,Error logging,"Add Sentry or Logtail for error tracking.",Medium,2,To Do
