ID,Epic,Task,Description,Priority,EstimatePts,Status
E08-01,Stretch Goals,Name game poll,"Interactive poll: ‘Who’s name should we take?’ with Shiner vs Savage tally.",Low,2,To Do
E08-02,Stretch Goals,Animated footer,"Animated car footer ‘Made by Jonah’.",Low,1,To Do
E08-03,Stretch Goals,OG image generation,"Dynamic social card for invite and confirmation pages.",Low,1,To Do
E08-04,Stretch Goals,Analytics,"Add Plausible or Umami for tracking RSVP funnel.",Low,2,To Do
E08-05,Stretch Goals,Rate limiting,"Protect RSVP/lookup endpoints with Redis or middleware.",Medium,2,To Do
E08-06,Stretch Goals,hCaptcha/Turnstile,"Bot protection for RSVP form.",Medium,2,To Do
E08-07,Stretch Goals,Seating planner export,"Generate CSV by table for seating plan.",Low,2,To Do
E08-08,Stretch Goals,Daily admin digest,"Email daily summary of new RSVPs.",Low,2,To Do
E08-09,Stretch Goals,Print-friendly view,"Minimal design for printing invites or itinerary.",Low,1,To Do
E08-10,Stretch Goals,PWA & offline mode,"Manifest and service worker for installable version.",Low,2,To Do
